customer_id,vintage,age,gender,dependents,occupation,customer_nw_category,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,churn
26.0,1897.0,34.0,Male,0.0,Engineer,Medium,671.0,4.0,2497.52,1401.93,1657.7,2357.17,2072.09,0.66,1191.06,1786.37,1185.47,2098.38,Yes
27.0,754.0,48.0,Male,2.0,Accountant,Medium,221.0,47.0,2596.21,3023.7,4867.68,7592.46,0.6,12.45,635.56,6069.1,2847.25,4957.86,No
29.0,2620.0,36.0,Male,2.0,Engineer,High,58.0,20.0,20273.43,23106.03,26221.15,5594.83,7.83,722.68,853.09,1557.17,21741.48,25504.19,Yes
30.0,1391.0,56.0,Male,0.0,Engineer,Low,2421.0,9.0,7111.29,6971.29,7040.32,7298.14,143.26,0.4,3.26,0.4,7019.56,6971.29,Yes
31.0,4175.0,55.0,Male,0.0,Engineer,High,325.0,9.0,6424.46,7666.31,7003.05,6322.76,63.9,18898.87,165.46,14515.19,6499.62,8589.6,Yes
33.0,6006.0,66.0,Male,0.0,Lawyer,High,4029.0,27.0,972.57,10974.39,18028.94,8349.94,18598.44,0.57,192.4,77.77,,11022.7,No
34.0,2963.0,64.0,Female,0.0,Lawyer,High,60.0,36.0,10701.32,10786.13,6119.39,2675.84,0.16,8454.72,384.97,857.3,10807.22,4819.38,Yes
38.0,2684.0,52.0,Male,7.0,Engineer,Medium,264.0,125.0,7613.61,8387.76,3587.43,3397.86,0.19,0.19,1090.94,16700.25,3656.3,5707.49,Yes
39.0,5803.0,51.0,Male,0.0,Engineer,Medium,36.0,5.0,226.9,179.76,2152.77,519.21,37471.69,3275.63,38711.36,4586.23,2756.47,1707.51,Yes
40.0,5579.0,54.0,Male,3.0,Engineer,Medium,101.0,77.0,1436.71,1436.71,1436.64,1403.46,0.44,0.44,0.44,0.44,1436.71,1436.71,Yes
41.0,2350.0,47.0,Male,0.0,Engineer,Medium,1130.0,10.0,5575.95,5230.81,5287.41,5404.32,357.8,0.66,0.66,0.66,5354.17,5243.52,Yes
42.0,4750.0,34.0,Male,0.0,Accountant,Low,823.0,97.0,3295.17,3295.17,3518.82,3906.6,0.43,0.43,0.43,0.43,3295.17,3295.17,Yes
43.0,6834.0,69.0,Male,0.0,Lawyer,Medium,17.0,3.0,13148.58,12725.72,12754.06,11908.97,423.47,0.61,0.61,0.61,12937.74,12725.72,Yes
45.0,1656.0,44.0,Female,0.0,Engineer,Medium,1993.0,26.0,2021.8,12315.58,9044.84,13267.32,2.76,465.73,11557.01,16321.24,9190.74,12153.12,No
46.0,2938.0,55.0,Female,0.0,Engineer,High,509.0,100.0,2899.7,3315.42,3568.09,3893.81,0.27,0.27,715.99,2328.84,3308.91,3918.18,Yes
47.0,2255.0,17.0,Female,0.0,,Medium,36.0,47.0,849.37,906.51,1496.26,2016.94,0.01,1216.86,0.01,2142.87,896.66,1670.84,Yes
48.0,3168.0,48.0,Male,2.0,Engineer,Medium,3660.0,7.0,6792.03,2075.19,3944.52,779.19,16642.73,10147.4,11925.89,10303.49,6495.58,2370.54,Yes
49.0,4526.0,41.0,Male,0.0,Engineer,Medium,654.0,11.0,1540.21,1536.52,1577.99,1795.98,1428.73,7828.73,3928.73,7143.01,751.91,2606.82,Yes
50.0,937.0,4.0,Male,0.0,Doctor,Low,1314.0,160.0,5717.13,5752.87,5734.71,5368.97,0.1,0.1,107.26,0.1,5700.39,5752.87,Yes
51.0,3428.0,52.0,Male,3.0,Engineer,Medium,303.0,14.0,3854.44,3402.88,7996.88,17827.68,1428.76,1428.76,78.33,10552.2,3300.27,7293.4,No
52.0,1776.0,30.0,Female,0.0,Engineer,Medium,2072.0,7.0,3585.62,16242.22,14497.05,16252.35,3260.71,0.67,14617.16,1743.53,11112.23,16259.74,No
55.0,2701.0,43.0,Male,0.0,Accountant,Low,249.0,95.0,4474.38,6617.24,7897.49,8096.35,0.51,0.51,2143.37,2714.8,5434.97,8096.5,Yes
56.0,1916.0,65.0,Male,0.0,Engineer,Medium,955.0,17.0,1443.95,1560.6,1499.63,1323.69,328.86,328.86,416.93,294.44,1547.19,1565.14,Yes
57.0,2292.0,34.0,Male,0.0,Engineer,Low,353.0,3.0,21252.86,20848.89,21926.19,18861.56,782.48,0.47,344.44,1912.35,,21741.64,Yes
58.0,4843.0,51.0,Female,0.0,Engineer,Medium,15.0,20.0,894.72,610.75,2002.71,1029.63,487.46,487.46,120.31,3334.6,871.43,1369.55,Yes
60.0,734.0,44.0,Male,0.0,Engineer,Low,2530.0,0.0,91.47,926.03,2839.76,220.68,957.8,1429.23,0.66,14936.37,806.65,3892.54,No
62.0,2622.0,43.0,Female,0.0,Engineer,Low,615.0,7.0,3365.16,1936.59,1672.36,1111.34,1429.27,714.99,0.7,0.7,2281.42,1660.25,Yes
63.0,4995.0,49.0,Male,1.0,Engineer,Medium,84.0,116.0,3373.21,3377.04,5647.25,8408.92,0.54,0.54,0.54,4286.26,3373.74,5900.63,Yes
64.0,1037.0,68.0,Female,0.0,Engineer,Medium,88.0,76.0,4091.66,3911.4,3817.38,3687.68,0.2,0.2,0.2,143.06,3948.7,3940.44,Yes
65.0,4870.0,45.0,Male,0.0,Accountant,Medium,176.0,11.0,12039.77,11695.56,11506.59,8441.8,342.91,285.77,0.06,0.06,11935.11,11566.53,Yes
66.0,704.0,45.0,Female,0.0,Engineer,Medium,890.0,18.0,6036.9,5104.17,4925.66,2604.71,947.69,947.69,0.67,572.1,5688.03,4772.01,Yes
68.0,5096.0,67.0,Male,2.0,Engineer,Medium,150.0,28.0,1578.21,14771.27,4654.6,5792.17,41.06,809.42,13250.07,2640.42,6407.25,4753.54,Yes
69.0,5550.0,76.0,Female,0.0,Engineer,Medium,47.0,20.0,,980.14,2147.51,2587.58,1498.99,5857.4,1428.83,,1833.64,2371.85,Yes
70.0,2709.0,60.0,Male,2.0,Engineer,Medium,526.0,25.0,5065.29,5493.38,5517.33,6507.79,65.8,65.8,493.89,65.31,5289.17,5493.32,Yes
71.0,3952.0,79.0,Female,0.0,Engineer,Medium,442.0,25.0,15942.78,16707.64,16215.43,21975.14,604.96,487.74,1286.36,1244.91,16115.08,16619.75,Yes
72.0,1043.0,21.0,Male,0.0,Doctor,High,1904.0,173.0,7151.46,7151.46,7132.17,6939.37,0.4,0.4,0.4,0.4,7151.46,7151.46,Yes
73.0,434.0,57.0,Male,2.0,Engineer,Medium,619.0,5.0,27970.63,30174.91,29183.26,31724.2,5970.89,14968.34,5395.31,9534.1,27609.06,26970.91,Yes
74.0,761.0,27.0,Male,1.0,Engineer,Medium,194.0,46.0,431.67,3572.74,2623.92,394.73,0.37,5714.66,3191.36,7339.07,1546.76,4973.61,No
76.0,5621.0,47.0,Male,2.0,Engineer,High,67.0,7.0,11902.1,17154.34,22557.45,26515.79,9490.71,40227.94,14028.67,59542.94,9599.97,26536.82,Yes
77.0,1390.0,61.0,Male,0.0,Accountant,Low,2760.0,25.0,2662.21,2590.78,2500.33,4217.13,143.46,183.14,72.03,0.6,2704.08,2575.33,Yes
78.0,6244.0,70.0,Male,0.0,Accountant,High,1.0,0.0,54686.7,19568.0,20354.78,56390.75,53551.68,1804.39,17864.3,,27917.15,17771.8,Yes
80.0,1672.0,41.0,Male,0.0,Engineer,Low,921.0,12.0,6209.34,747.55,2028.69,436.32,298.6,1515.79,1191.11,1925.96,5028.71,389.58,Yes
81.0,4237.0,32.0,Male,0.0,Accountant,High,3648.0,6.0,39462.27,37735.69,39371.37,34742.38,6904.7,7065.39,3423.32,1973.06,41740.9,38821.4,Yes
82.0,2053.0,55.0,Male,2.0,Accountant,Medium,1516.0,5.0,4587.28,2396.64,3776.63,2877.55,6019.98,8614.97,4619.4,7526.69,5530.89,2620.73,Yes
83.0,4630.0,58.0,Male,2.0,Accountant,Medium,1783.0,18.0,,2163.62,2212.69,960.02,142.97,0.11,285.83,174.4,2174.46,2237.81,Yes
84.0,762.0,40.0,Female,0.0,Engineer,Low,2042.0,138.0,9931.34,10074.2,10165.31,10167.53,0.4,0.4,0.4,0.4,10024.94,10161.76,Yes
86.0,3422.0,63.0,Female,0.0,Engineer,Medium,1771.0,20.0,11636.85,11239.9,9482.92,7835.2,242.66,281.03,1594.4,2291.33,10875.19,11022.47,Yes
87.0,1106.0,26.0,Male,0.0,Engineer,Low,1730.0,126.0,483.52,483.52,2032.88,6547.79,0.3,0.3,0.3,57.44,483.52,560.64,No
88.0,6036.0,58.0,Male,0.0,Engineer,High,27.0,6.0,10088.96,8180.5,7011.82,12760.62,1640.74,6.91,0.63,0.63,8626.56,8048.1,Yes
89.0,844.0,33.0,Male,0.0,Engineer,Medium,2539.0,20.0,3537.16,3137.31,3658.26,1726.28,471.97,1386.26,71.97,4871.97,3497.27,2805.97,Yes
90.0,1395.0,53.0,Male,0.0,Accountant,Low,2126.0,49.0,12913.08,13185.93,11588.33,11725.2,0.16,4285.87,115.87,0.16,12926.87,11757.0,Yes
91.0,4696.0,19.0,Female,0.0,Engineer,High,11.0,69.0,3144.56,3145.98,2800.31,877.99,0.01,0.01,1.44,0.01,3145.84,3145.98,Yes
93.0,7159.0,41.0,Male,0.0,Engineer,Medium,5.0,230.0,3185.72,3185.72,3185.72,3173.23,0.67,0.67,0.67,0.67,3185.72,3185.72,Yes
94.0,6163.0,36.0,Male,1.0,Engineer,High,240.0,45.0,,6395.65,10586.02,20127.88,0.3,0.91,541.43,1188.14,4882.4,7174.91,Yes
95.0,2964.0,30.0,Male,0.0,Accountant,Medium,803.0,75.0,3122.27,3148.7,3380.35,6022.71,0.47,0.47,0.47,0.47,3143.23,3148.7,Yes
96.0,1644.0,29.0,Female,0.0,Accountant,Medium,26.0,219.0,9013.52,8450.77,7659.27,6097.42,0.17,0.17,366.39,48.89,8201.65,7761.98,Yes
97.0,2839.0,74.0,Male,0.0,Lawyer,Medium,286.0,70.0,2227.37,2355.94,1869.48,226.88,0.27,0.27,128.84,0.27,2333.78,2352.71,Yes
98.0,8459.0,67.0,Female,0.0,Accountant,Medium,1572.0,6.0,20741.22,18803.01,20449.11,16927.81,2780.11,2555.04,123.07,2000.03,,20533.91,Yes
99.0,2629.0,26.0,Male,0.0,Engineer,Low,35.0,30.0,,3187.91,1440.99,1260.99,0.34,1085.49,2877.35,410.67,2173.64,1634.38,No
100.0,463.0,32.0,Female,0.0,Engineer,Low,2903.0,180.0,2429.18,3961.44,3826.64,4367.47,0.14,0.14,1428.71,114.43,3364.19,3994.93,No
102.0,1856.0,56.0,Female,0.0,Engineer,Medium,63.0,39.0,22437.57,22627.3,14741.84,7979.38,0.39,14643.24,192.23,406.51,22436.48,13398.73,Yes
103.0,3142.0,43.0,Male,3.0,Engineer,Medium,1355.0,0.0,,1699.27,3216.92,3063.66,11928.66,22783.16,3474.96,16261.1,5369.79,1571.78,Yes
105.0,4878.0,48.0,Male,0.0,Engineer,Medium,146.0,0.0,2617.87,2864.08,3395.36,4774.91,554.89,554.89,782.59,1100.93,2728.8,3173.96,Yes
107.0,1643.0,72.0,Female,0.0,Engineer,Low,438.0,28.0,503.68,40156.71,2904.33,1870.52,4571.66,40000.23,45285.94,2071.66,502.25,5905.42,No
108.0,5501.0,75.0,Male,0.0,Engineer,Medium,116.0,52.0,1555.37,7232.49,6392.32,10989.5,0.6,814.89,4664.03,3224.89,2312.52,7315.78,No
109.0,6825.0,70.0,Male,3.0,Engineer,Medium,15.0,28.0,8191.35,1276.02,3410.48,2956.34,12291.5,3.27,779.37,683.13,8884.85,773.95,Yes
110.0,3191.0,43.0,Male,1.0,Engineer,Low,797.0,0.0,,5124.05,1545.74,62.65,9214.61,5000.33,306.04,0.33,2652.54,1850.66,Yes
112.0,4198.0,34.0,Male,0.0,Engineer,Low,252.0,188.0,2597.77,2597.77,2597.77,8813.29,0.17,0.17,0.17,0.17,2597.77,2597.77,Yes
113.0,6952.0,49.0,Female,0.0,Engineer,Low,108.0,95.0,1694.84,1821.79,2234.07,1473.98,0.56,0.56,128.94,889.61,1770.46,2206.02,No
115.0,837.0,43.0,Female,0.0,Accountant,Low,115.0,81.0,2488.77,2814.5,3060.89,654.45,0.66,0.66,0.66,1022.8,2646.02,3245.73,Yes
116.0,4129.0,36.0,Male,0.0,Engineer,Low,544.0,17.0,9572.43,11289.74,13374.35,5754.73,13.66,29.75,1538.06,4431.52,10517.75,14106.69,Yes
117.0,6107.0,62.0,Female,0.0,Engineer,Medium,46.0,3.0,16969.05,19368.4,19518.99,29687.98,41.39,257.7,2114.84,829.13,17888.1,20182.08,Yes
118.0,6941.0,54.0,Male,0.0,Accountant,Low,149.0,27.0,909.84,3171.61,2529.1,3696.6,1544.86,142.97,3324.87,2346.67,2592.86,2438.97,Yes
119.0,506.0,39.0,Male,0.0,Engineer,Medium,1861.0,297.0,10864.4,10878.68,11340.54,11852.11,0.01,0.01,0.01,0.01,10869.81,11266.08,Yes
120.0,1340.0,10.0,Female,0.0,Doctor,Low,2196.0,100.0,107.99,822.27,1845.1,900.96,0.57,0.57,714.86,2143.43,526.71,2043.47,No
122.0,4335.0,48.0,Male,1.0,Accountant,High,239.0,3.0,1905.79,1185.76,1764.06,9259.98,1680.43,446.64,9122.52,1905.45,2481.69,1648.49,Yes
124.0,1323.0,65.0,Male,2.0,Lawyer,Low,4672.0,4.0,,6330.93,9894.37,12100.4,30.17,29.66,1269.08,7245.34,6223.21,10688.05,Yes
126.0,1455.0,40.0,Male,2.0,Doctor,Medium,183.0,63.0,1100.97,1636.97,6221.02,5432.18,0.47,0.47,536.47,911.39,1257.45,2082.78,No
129.0,1126.0,37.0,Female,0.0,Engineer,Medium,2755.0,174.0,3097.47,3009.86,3042.97,3381.31,0.34,0.34,0.34,0.34,3067.26,3014.47,No
130.0,783.0,58.0,Female,1.0,Engineer,Medium,666.0,0.0,2123.8,511.7,1681.09,1344.97,2417.34,464.49,1448.1,2258.75,1467.89,857.11,Yes
133.0,2301.0,34.0,Female,0.0,Engineer,Low,1375.0,49.0,5899.01,6327.58,5085.83,2729.45,0.11,428.69,428.69,0.11,5943.34,5926.66,Yes
134.0,1964.0,71.0,Male,0.0,Lawyer,Medium,2082.0,96.0,844.46,844.46,3459.95,6149.84,0.07,0.07,0.07,1167.89,844.46,1002.39,No
135.0,992.0,46.0,Male,2.0,Accountant,Low,2907.0,14.0,2409.49,2531.36,3444.59,4213.89,122.03,122.03,243.9,1672.47,2409.49,3660.94,Yes
136.0,2658.0,43.0,Male,3.0,Engineer,Medium,1087.0,30.0,5182.72,5390.45,5085.21,5235.58,0.41,886.13,0.41,0.41,5341.82,5089.71,Yes
137.0,5691.0,66.0,Male,0.0,Engineer,High,159.0,7.0,6685.16,13549.22,12790.33,15463.19,2201.54,13495.49,29015.61,13935.28,12939.47,12426.54,Yes
138.0,1703.0,52.0,Male,0.0,Engineer,Low,2192.0,26.0,,5902.67,7161.79,10650.8,6429.01,0.44,2857.59,143.3,9523.36,5916.49,Yes
142.0,5290.0,45.0,Male,0.0,Engineer,High,36.0,6.0,2189.03,1180.95,2095.61,4133.01,1038.1,3043.03,29.69,4764.47,1882.94,1564.02,Yes
144.0,1476.0,35.0,Female,0.0,Engineer,Low,2397.0,102.0,1072.56,1072.56,1994.21,1781.4,0.21,0.21,0.21,1428.79,1072.56,2408.96,Yes
145.0,4237.0,41.0,Male,2.0,Engineer,Low,86.0,3.0,5026.63,4904.45,3750.77,6400.35,2426.9,2285.04,1629.92,1611.09,3942.88,3766.02,Yes
146.0,998.0,39.0,Male,0.0,Engineer,Medium,62.0,28.0,1570.66,1682.95,4509.4,4438.01,21.84,0.41,91.95,20.44,1665.33,3255.39,Yes
147.0,5905.0,49.0,Female,0.0,Engineer,Medium,503.0,40.0,5796.61,7398.11,9804.13,4836.96,0.17,412.88,857.31,1285.89,6786.5,9262.38,Yes
148.0,1525.0,30.0,Male,0.0,Engineer,Medium,1950.0,164.0,1642.73,1638.88,1638.54,2879.81,0.54,0.54,0.54,,1642.6,1638.88,Yes
149.0,1039.0,30.0,Female,0.0,Engineer,Medium,679.0,110.0,2348.97,2348.97,3645.54,7706.6,0.2,0.2,0.2,3285.91,2348.97,3049.5,Yes
150.0,1138.0,25.0,Male,2.0,Engineer,Low,1730.0,9.0,314.23,2.04,2205.76,2373.25,1159.94,5088.96,1326.33,5876.33,207.61,613.69,No
151.0,541.0,42.0,Female,0.0,Engineer,Low,234.0,10.0,279.79,275.19,2054.35,2970.87,62.01,62.09,114.56,,284.82,251.74,No
152.0,606.0,45.0,Male,0.0,Engineer,Medium,2008.0,0.0,2357.64,1527.79,1537.19,3881.45,7058.77,1364.71,262.31,1201.86,2383.83,527.09,Yes
154.0,2909.0,28.0,Male,0.0,Engineer,Low,820.0,46.0,4689.26,4689.26,4597.46,4302.62,0.09,194.11,0.09,0.09,4689.26,4607.89,Yes
155.0,1395.0,28.0,Male,0.0,Engineer,Medium,1759.0,14.0,3725.73,1660.06,2233.48,4640.59,185.77,2257.2,726.49,3128.63,2974.86,1844.77,Yes
156.0,692.0,34.0,Male,0.0,Engineer,Medium,524.0,231.0,7634.87,7968.58,7951.54,8311.28,0.16,0.16,619.59,48.16,7850.89,7977.87,Yes
157.0,3280.0,49.0,Female,0.0,Engineer,High,935.0,27.0,3158.08,4334.08,3924.89,4328.36,4286.36,6572.07,0.64,0.64,3763.64,4236.98,No
158.0,822.0,40.0,Female,0.0,Accountant,Medium,2396.0,3.0,2404.56,258.02,3978.78,3041.39,2143.13,5143.13,0.27,14285.99,827.07,4705.02,Yes
160.0,1971.0,32.0,Male,0.0,Accountant,Low,1514.0,87.0,,2103.95,2123.99,1975.34,0.61,0.61,45.53,251.7,2063.68,2112.77,Yes
161.0,504.0,39.0,Male,0.0,Accountant,Medium,724.0,35.0,5718.2,6018.2,6869.09,5349.45,0.31,714.6,1578.89,2869.77,5764.26,6529.73,Yes
162.0,1488.0,44.0,Male,0.0,Engineer,Medium,1248.0,86.0,6888.19,6888.19,6995.72,7140.52,0.69,0.69,0.69,0.69,6888.19,6888.19,Yes
163.0,4002.0,52.0,Female,0.0,Accountant,Medium,86.0,0.0,,4049.45,3016.82,3336.27,6232.31,0.19,174.75,174.41,3208.01,3155.38,Yes
165.0,2468.0,36.0,Female,0.0,Engineer,Low,665.0,48.0,1471.2,1861.02,1664.98,1513.34,0.53,929.1,350.69,0.53,1701.32,1986.71,Yes
167.0,853.0,83.0,Female,0.0,Lawyer,High,668.0,129.0,0.51,0.51,2004.84,10440.1,0.51,0.51,0.51,0.51,0.51,0.51,No
168.0,1683.0,23.0,Female,0.0,Doctor,Low,363.0,61.0,10657.76,10657.76,10528.72,9696.13,0.01,0.01,0.01,0.01,10657.76,10657.76,Yes
170.0,2609.0,52.0,Male,0.0,Accountant,Low,102.0,205.0,3278.11,3529.14,3498.9,3934.21,0.56,0.56,243.41,0.56,3410.77,3529.14,Yes
173.0,2960.0,46.0,Male,2.0,Engineer,Low,1672.0,3.0,1633.2,761.77,1494.99,2125.05,714.37,0.09,0.09,1214.37,1042.07,1466.84,Yes
174.0,606.0,31.0,Female,0.0,Engineer,Low,1703.0,257.0,11651.82,11651.82,11651.82,11580.19,0.59,0.59,0.59,0.59,11651.82,11651.82,No
176.0,4722.0,63.0,Male,3.0,Engineer,Low,143.0,21.0,14901.34,1237.89,3517.11,5806.24,282.99,512.06,1048.36,40.61,5434.09,1082.88,Yes
177.0,2491.0,26.0,Male,0.0,Accountant,High,76.0,6.0,2354.29,3289.97,3352.04,4172.94,2.36,0.64,647.28,304.37,2725.9,3497.39,Yes
178.0,1449.0,43.0,Male,2.0,Engineer,Medium,1345.0,6.0,29599.74,1689.76,6164.41,1833.96,81428.59,2142.87,758.69,7901.54,13261.59,2924.04,Yes
179.0,4367.0,35.0,Male,0.0,Accountant,High,5.0,132.0,1799.94,1188.93,1473.55,6306.04,0.29,0.29,5991.1,5728.86,849.3,2077.78,Yes
180.0,3824.0,75.0,Male,0.0,Lawyer,Medium,861.0,209.0,10309.02,10309.02,10309.02,10244.15,0.56,0.56,0.56,,10309.02,10309.02,Yes
181.0,1576.0,39.0,Female,0.0,Accountant,Low,2027.0,53.0,4970.13,4385.5,3957.34,4801.31,0.54,261.28,354.76,1207.79,4072.15,3641.62,Yes
183.0,2800.0,64.0,Female,0.0,Engineer,Medium,186.0,24.0,7154.35,5430.54,5842.56,3667.74,1497.44,1497.44,298.63,961.88,6817.38,5577.67,Yes
186.0,1241.0,48.0,Female,0.0,Engineer,Medium,616.0,24.0,1404.0,1151.06,1667.1,1422.28,2571.44,0.78,24.6,236.5,1662.63,1265.3,Yes
188.0,3146.0,49.0,Male,0.0,Engineer,Low,304.0,77.0,1898.54,1927.11,1763.19,806.12,0.51,0.51,0.51,0.51,1918.24,1946.81,Yes
191.0,4970.0,37.0,Male,0.0,Engineer,Medium,187.0,95.0,1739.81,1739.81,1739.81,1702.25,0.1,0.1,0.1,0.1,1739.81,1739.81,Yes
192.0,3736.0,44.0,Female,0.0,Engineer,Low,370.0,3.0,2462.65,2283.09,1889.2,1639.6,677.0,846.97,539.47,625.34,2035.26,1711.8,Yes
193.0,2798.0,36.0,Female,0.0,Engineer,High,582.0,7.0,2630.36,3604.13,3716.69,3385.48,285.91,285.91,1259.68,1105.91,3078.28,3917.2,Yes
194.0,1389.0,28.0,Female,0.0,Engineer,Medium,1379.0,135.0,10725.2,17510.91,20106.09,18523.31,0.51,0.51,6786.23,7719.09,14074.95,21041.14,Yes
195.0,2180.0,49.0,Female,0.0,Accountant,Low,1378.0,18.0,665.33,2416.37,2125.49,7863.94,75.29,3.67,753.06,547.51,1126.12,2683.18,Yes
196.0,4115.0,45.0,Male,2.0,Engineer,Medium,75.0,31.0,4617.63,15609.03,5029.12,6187.27,0.7,5296.27,14565.88,8571.15,1405.35,11894.71,Yes
200.0,2008.0,36.0,Female,0.0,Engineer,Low,1465.0,25.0,2947.01,2832.76,2761.75,2198.01,185.76,185.76,0.04,0.04,2931.25,2796.82,Yes
201.0,6113.0,67.0,Male,0.0,Engineer,High,40.0,21.0,1433.48,2676.86,3257.2,234.88,3133.6,0.16,7671.59,34386.43,2034.36,7488.54,No
202.0,4613.0,65.0,Male,0.0,Engineer,Medium,170.0,149.0,5823.36,5823.36,5823.36,3858.03,0.11,0.11,0.11,0.11,5823.36,5823.36,Yes
204.0,2683.0,90.0,Male,0.0,Engineer,High,6.0,9.0,138.71,724.93,41525.56,7393.82,250929.19,57857.76,190500.61,78143.47,114207.79,3695.37,No
205.0,2982.0,42.0,Male,0.0,Accountant,Medium,1721.0,286.0,2191.51,2134.96,2167.66,3603.36,0.11,0.11,45.67,160.15,2171.26,2233.05,Yes
206.0,3394.0,38.0,Female,0.0,Engineer,Low,149.0,11.0,1756.94,729.06,1451.46,1484.59,671.64,3158.56,528.79,4828.79,1929.45,1079.07,Yes
207.0,3005.0,75.0,Female,0.0,Engineer,Medium,18.0,21.0,,12861.78,8923.09,3562.58,2857.4,1428.83,14285.97,0.26,5177.05,12248.88,No
208.0,3143.0,32.0,Male,0.0,Accountant,Low,830.0,0.0,2076.81,3492.14,2509.94,2976.42,2870.64,8573.46,3837.13,7201.73,3256.18,2541.57,Yes
209.0,1140.0,61.0,Male,0.0,Engineer,Low,759.0,3.0,3731.2,3759.77,3768.27,2838.67,286.3,0.59,286.3,0.59,3712.97,3779.59,Yes
210.0,1321.0,55.0,Male,0.0,,Medium,1638.0,0.0,7110.16,8816.34,7008.65,2727.1,823.37,1020.09,2627.2,2742.04,7493.78,9016.52,Yes
211.0,5978.0,64.0,Male,0.0,Lawyer,Low,33.0,137.0,2479.97,2475.07,2477.79,1496.7,0.07,0.07,0.07,0.07,2477.6,2475.07,No
213.0,984.0,41.0,Male,0.0,Engineer,Medium,2179.0,49.0,3975.23,4675.23,4473.45,4053.59,0.11,714.4,700.11,712.97,4071.78,4674.76,Yes
214.0,768.0,28.0,Female,0.0,Accountant,Low,2824.0,168.0,278.57,538.71,2486.48,1130.89,0.64,0.64,246.5,3103.64,351.71,1797.82,No
218.0,4153.0,35.0,Female,1.0,Engineer,Low,159.0,23.0,1983.16,1808.79,2192.14,2575.07,364.64,929.19,190.27,1219.36,,2137.75,Yes
